# x_m,y_m,w_tr_right_m,w_tr_left_m
789.782738,-180.542012,1.016,1.084
787.011970,-184.705566,1.062,1.035
784.265137,-188.886574,1.108,0.985
781.548155,-193.088638,1.154,0.936
778.871892,-197.316448,1.187,0.912
776.248431,-201.574960,1.213,0.905
773.689850,-205.869131,1.226,0.963
771.208232,-210.203916,1.218,1.136
768.815657,-214.584272,1.326,1.338
766.524154,-219.015133,1.587,1.577
764.335653,-223.497073,1.847,1.816
762.229923,-228.021102,2.174,2.141
760.183793,-232.576960,2.514,2.484
758.174091,-237.154385,2.854,2.826
756.177647,-241.743118,3.194,3.169
754.171288,-246.332898,3.534,3.512
752.132210,-250.913573,3.875,3.854
750.051474,-255.479086,3.929,3.928
747.937913,-260.028628,3.935,3.955
745.801525,-264.561735,3.941,3.983
743.652310,-269.077941,3.947,4.011
741.500266,-273.576782,3.953,4.038
739.355392,-278.057794,3.959,4.062
737.227192,-282.522008,3.957,3.995
735.117889,-286.992512,3.954,3.927
733.024156,-291.509202,3.952,3.860
730.942527,-296.112395,3.949,3.793
728.838033,-300.796250,3.947,3.725
726.550918,-305.372085,3.816,3.838
723.890534,-309.605955,3.657,4.124
720.690584,-313.287789,3.919,4.008
716.962948,-316.382204,3.936,3.563
712.798664,-318.931422,3.330,4.057
708.289129,-320.978019,3.497,4.072
703.525739,-322.564569,3.586,4.140
698.599890,-323.733646,3.635,4.236
693.602980,-324.527826,4.056,3.882
688.609823,-324.991490,4.328,3.647
683.631014,-325.176014,4.024,3.932
678.661600,-325.134471,3.721,4.218
673.696625,-324.919930,3.832,4.143
668.731136,-324.585464,3.953,4.059
663.760179,-324.184143,4.018,4.031
658.778821,-323.768904,3.947,4.138
653.786008,-323.367672,3.875,4.244
648.789087,-322.954242,3.929,4.170
643.796500,-322.495333,4.011,4.054
638.816689,-321.957669,4.093,3.939
633.858098,-321.307969,4.122,3.893
628.929168,-320.512955,4.079,3.942
624.038261,-319.539882,4.030,3.996
619.190736,-318.375604,3.783,4.274
614.388155,-317.031783,3.537,4.552
609.631833,-315.521672,3.759,4.267
604.923088,-313.858527,4.030,3.923
600.263236,-312.055602,4.123,3.884
595.653594,-310.126153,4.190,3.891
591.095298,-308.081827,4.140,3.938
586.588781,-305.928036,4.021,4.008
582.134305,-303.668679,3.893,4.134
577.732134,-301.307655,3.749,4.356
573.382530,-298.848864,3.804,4.293
569.085755,-296.296203,3.932,4.126
564.842074,-293.653573,4.060,3.958
560.651748,-290.924873,4.039,3.927
556.515040,-288.114002,3.945,3.961
552.432213,-285.224858,3.856,3.995
548.403530,-282.261342,3.963,4.018
544.429254,-279.227351,4.071,4.042
540.509648,-276.126786,4.045,4.143
536.646058,-272.962511,3.921,4.301
532.879958,-269.699105,3.796,4.459
529.303798,-266.252512,3.800,4.424
526.013321,-262.535532,3.982,4.125
523.106293,-258.472868,4.046,3.955
520.695052,-254.074915,3.962,3.947
518.898317,-249.389602,3.882,4.008
517.832775,-244.470660,3.727,4.126
517.585351,-239.453276,3.760,4.127
518.220595,-234.533878,3.960,3.976
519.802514,-229.910386,3.644,4.012
522.334949,-225.730525,3.697,4.030
525.588832,-221.947703,3.723,4.076
529.278745,-218.468315,3.755,4.116
533.145068,-215.207132,4.006,3.938
537.111602,-212.138479,4.135,3.844
541.181603,-209.262478,3.882,4.016
545.358650,-206.579354,3.630,4.189
549.646318,-204.089333,3.583,4.245
554.048185,-201.792641,3.776,4.166
558.567826,-199.689504,3.962,4.066
563.205028,-197.787576,4.142,3.952
567.944951,-196.123167,4.104,3.998
572.769226,-194.739502,3.943,4.135
577.659441,-193.677704,3.782,4.272
582.595565,-192.902588,3.832,4.157
587.555526,-192.282824,3.891,4.032
592.517155,-191.681168,3.950,3.907
597.464671,-191.000804,4.008,3.782
602.396071,-190.232186,4.067,3.656
607.311150,-189.377138,4.078,3.584
612.209702,-188.437485,3.754,3.880
617.091520,-187.415051,3.736,3.909
621.956399,-186.311660,3.885,3.792
626.804133,-185.129135,3.995,3.731
631.634516,-183.869300,4.081,3.705
636.447341,-182.533981,4.031,3.778
641.242404,-181.125000,3.926,3.889
646.019497,-179.644181,3.822,4.001
650.778415,-178.093350,3.911,3.915
655.518952,-176.474329,4.032,3.797
660.238753,-174.785985,4.152,3.679
664.927143,-173.015721,4.144,3.677
669.571431,-171.148166,3.832,3.948
674.158924,-169.167949,3.519,4.220
678.676932,-167.059698,3.652,4.059
683.112764,-164.808044,4.010,3.679
687.453615,-162.397497,4.367,3.300
691.665455,-159.790647,4.318,3.459
695.668265,-156.902579,4.235,3.631
699.376004,-153.642165,4.092,3.768
702.706093,-149.926475,3.881,3.943
705.625359,-145.789734,3.597,4.155
708.137497,-141.353584,3.711,4.081
710.246759,-136.740516,3.913,3.949
711.945681,-132.028298,4.275,3.712
713.212100,-127.238602,4.271,3.600
714.022926,-122.389546,4.233,3.584
714.355066,-117.499248,4.183,3.721
714.185428,-112.585823,4.151,3.829
713.490920,-107.667391,4.131,3.916
712.250145,-102.766987,3.929,3.984
710.465448,-97.976495,3.713,4.023
708.156646,-93.438475,4.013,3.892
705.343960,-89.296659,4.275,3.739
702.055119,-85.657540,4.465,3.546
698.346209,-82.486891,4.379,3.678
694.280014,-79.717258,3.996,4.159
689.919273,-77.291912,4.046,4.064
685.326428,-75.228159,4.189,3.846
680.563791,-73.574557,4.133,3.834
675.693600,-72.379388,4.037,3.865
670.765309,-71.627906,4.088,3.839
665.801465,-71.172685,4.209,3.787
660.821215,-70.849523,4.175,3.820
655.840166,-70.524248,3.962,3.952
650.860639,-70.175383,3.793,3.998
645.881844,-69.807882,3.707,3.881
640.902988,-69.426694,3.621,3.763
635.923278,-69.036773,3.535,3.646
630.941924,-68.643070,3.449,3.528
625.958135,-68.250537,3.363,3.411
620.971472,-67.864144,3.277,3.293
615.982233,-67.488901,3.192,3.175
610.990811,-67.129823,3.093,3.032
605.997598,-66.791923,2.973,2.842
601.002986,-66.480216,2.852,2.652
596.007369,-66.199717,2.791,2.575
591.011138,-65.955440,2.734,2.551
586.014686,-65.752400,2.650,2.580
581.018405,-65.595610,2.565,2.609
576.022688,-65.490086,2.481,2.638
571.027927,-65.440841,2.534,2.590
566.034515,-65.452890,2.705,2.477
561.042844,-65.531248,2.876,2.364
556.053237,-65.679211,2.782,2.483
551.065759,-65.893563,2.623,2.659
546.080411,-66.169548,3.015,3.094
541.097195,-66.502409,3.506,3.577
536.116113,-66.887389,3.677,3.700
531.137167,-67.319731,3.553,3.493
526.160360,-67.794679,3.430,3.286
521.185692,-68.307476,3.306,3.079
516.213166,-68.853365,3.182,2.872
511.242784,-69.427590,3.058,2.664
506.274548,-70.025392,2.935,2.457
501.308460,-70.642017,2.896,2.416
496.344521,-71.272706,3.002,2.654
491.382740,-71.912804,3.107,2.892
486.423329,-72.561174,3.212,3.130
481.466756,-73.221067,3.318,3.368
476.513507,-73.896006,3.381,3.522
471.564064,-74.589515,3.270,3.332
466.618913,-75.305119,3.158,3.142
461.678537,-76.046340,3.047,2.952
456.743421,-76.816702,2.936,2.762
451.814048,-77.619730,2.824,2.571
446.890904,-78.458948,2.713,2.381
441.974472,-79.337878,2.621,2.239
437.065236,-80.260046,2.595,2.267
432.163681,-81.228974,2.570,2.295
427.270291,-82.248187,2.544,2.323
422.385725,-83.321083,2.518,2.351
417.511874,-84.450176,2.515,2.365
412.651163,-85.637598,2.517,2.377
407.806015,-86.885480,2.518,2.389
402.978857,-88.195952,2.519,2.401
398.172113,-89.571147,2.520,2.432
393.388210,-91.013195,2.520,2.463
388.624995,-92.511917,2.520,2.495
383.862725,-94.009802,2.520,2.526
379.077425,-95.437961,2.521,2.557
374.245857,-96.729642,2.517,2.554
369.371439,-97.895329,2.513,2.549
364.491077,-99.042554,2.509,2.545
359.643725,-100.284782,2.510,2.531
354.853551,-101.692947,2.546,2.452
350.112834,-103.246245,2.582,2.374
345.409702,-104.911934,2.649,2.341
340.732282,-106.657272,3.154,2.936
336.068704,-108.449520,3.658,3.530
331.407095,-110.255934,4.163,4.125
326.735781,-112.044283,4.177,4.169
322.050266,-113.800844,3.985,3.979
317.355113,-115.535242,3.792,3.790
312.655461,-117.258596,3.599,3.601
307.956451,-118.982024,3.406,3.412
303.263223,-120.716643,3.214,3.223
298.580917,-122.473571,3.021,3.034
293.913754,-124.262073,2.828,2.844
289.262383,-126.084219,2.816,2.779
284.626590,-127.940337,3.002,2.849
280.006160,-129.830753,3.188,2.920
275.400879,-131.755795,3.375,2.990
270.810530,-133.715789,3.561,3.061
266.234900,-135.711061,3.747,3.131
261.673772,-137.741939,3.916,3.212
257.126933,-139.808750,3.896,3.400
252.594167,-141.911820,3.877,3.588
248.075260,-144.051476,3.857,3.776
243.569995,-146.228045,3.837,3.964
239.078159,-148.441854,3.817,4.152
234.599579,-150.693176,3.982,4.327
230.135655,-152.980290,4.413,4.481
225.689788,-155.298942,4.844,4.636
221.265508,-157.644713,5.276,4.791
216.866345,-160.013182,5.296,4.724
212.495831,-162.399931,5.123,4.553
208.157494,-164.800540,4.950,4.382
203.853512,-167.212860,4.777,4.211
199.566372,-169.667776,4.604,4.039
195.263682,-172.221124,4.431,3.868
190.912688,-174.929357,4.258,3.697
186.487983,-177.724071,4.078,3.551
181.992983,-180.047120,3.789,3.764
177.438175,-181.220304,3.203,3.945
172.870986,-180.656336,3.339,4.243
168.602825,-178.417542,3.636,3.911
165.010059,-174.878403,4.071,3.883
162.122071,-170.618791,4.181,3.805
159.750492,-166.150514,4.152,3.715
157.558157,-161.658507,4.123,3.624
155.189121,-157.286255,4.093,3.533
152.359584,-153.167518,4.064,3.443
149.057687,-149.399398,3.723,3.016
145.335628,-146.070364,3.197,2.369
141.245605,-143.268882,2.813,2.483
136.839819,-141.083420,2.615,2.650
132.170467,-139.602446,2.607,2.556
127.289888,-138.914002,2.642,2.330
122.272466,-139.038412,2.431,2.067
117.238594,-139.854676,2.131,1.831
112.314429,-141.224096,1.822,1.830
107.623328,-143.018285,1.742,1.689
103.250890,-145.248063,1.859,1.429
99.255600,-148.024195,1.934,1.321
95.696653,-151.455576,1.649,1.520
92.675502,-155.519437,1.528,1.649
90.344115,-160.035622,1.667,1.596
88.856582,-164.815027,1.703,1.596
88.243937,-169.712396,1.812,1.552
88.286263,-174.671888,1.788,1.429
88.733063,-179.648558,1.874,1.484
89.374668,-184.606576,1.960,1.568
90.149191,-189.543100,1.955,1.566
91.028177,-194.462751,1.950,1.564
91.983170,-199.370149,1.945,1.563
92.985716,-204.269917,1.940,1.561
94.007360,-209.166676,1.934,1.559
95.019718,-214.065034,1.929,1.558
96.004832,-218.967894,1.924,1.556
96.965993,-223.874674,1.919,1.555
97.909081,-228.784371,1.914,1.553
98.839976,-233.695981,1.909,1.551
99.764556,-238.608499,1.904,1.550
100.688701,-243.520920,1.898,1.548
101.618197,-248.432257,1.893,1.546
